tool,tier,case_id,cwe,language,interpreter,applied,functional_pass,benign_equivalent,residual_cwe_count,latency_seconds,abstained,notes
IR-SAM,real,synth-CWE-89-java-00-00,CWE-89,java,sql,False,False,False,0,1.025,True,abstain@F:no connection variable in scope
IR-SAM,real,synth-CWE-89-java-00-01,CWE-89,java,sql,False,False,False,0,0.1131,True,abstain@F:no connection variable in scope
IR-SAM,real,synth-CWE-89-java-00-02,CWE-89,java,sql,False,False,False,0,0.1437,True,abstain@F:no connection variable in scope
IR-SAM,real,synth-CWE-89-java-00-03,CWE-89,java,sql,False,False,False,0,0.2229,True,abstain@F:no connection variable in scope
IR-SAM,real,synth-CWE-89-python-01-00,CWE-89,python,sql,True,True,True,0,0.0086,False,5-gate verified
IR-SAM,real,synth-CWE-89-python-01-01,CWE-89,python,sql,True,True,True,0,0.0026,False,5-gate verified
IR-SAM,real,synth-CWE-89-python-01-02,CWE-89,python,sql,True,True,True,0,0.0027,False,5-gate verified
IR-SAM,real,synth-CWE-89-python-01-03,CWE-89,python,sql,True,True,True,0,0.0018,False,5-gate verified
IR-SAM,real,synth-CWE-89-jsts-02-00,CWE-89,jsts,sql,True,True,True,0,0.0128,False,5-gate verified
IR-SAM,real,synth-CWE-89-jsts-02-01,CWE-89,jsts,sql,True,True,True,0,0.0081,False,5-gate verified
IR-SAM,real,synth-CWE-89-jsts-02-02,CWE-89,jsts,sql,True,True,True,0,0.008,False,5-gate verified
IR-SAM,real,synth-CWE-89-jsts-02-03,CWE-89,jsts,sql,True,True,True,0,0.0066,False,5-gate verified
IR-SAM,real,synth-CWE-90-python-03-00,CWE-90,python,ldap,True,True,True,0,0.0026,False,5-gate verified
IR-SAM,real,synth-CWE-90-python-03-01,CWE-90,python,ldap,True,True,True,0,0.002,False,5-gate verified
IR-SAM,real,synth-CWE-90-python-03-02,CWE-90,python,ldap,True,True,True,0,0.0021,False,5-gate verified
IR-SAM,real,synth-CWE-90-python-03-03,CWE-90,python,ldap,True,True,True,0,0.0018,False,5-gate verified
IR-SAM,real,synth-CWE-643-python-04-00,CWE-643,python,xpath,True,True,True,0,0.0022,False,5-gate verified
IR-SAM,real,synth-CWE-643-python-04-01,CWE-643,python,xpath,True,True,True,0,0.0025,False,5-gate verified
IR-SAM,real,synth-CWE-643-python-04-02,CWE-643,python,xpath,True,True,True,0,0.0022,False,5-gate verified
IR-SAM,real,synth-CWE-643-python-04-03,CWE-643,python,xpath,True,True,True,0,0.0014,False,5-gate verified
Semgrep-autofix,synthetic,synth-CWE-89-java-00-00,CWE-89,java,sql,True,True,True,0,0.0007,False,p/sqli autofix recipe
Semgrep-autofix,synthetic,synth-CWE-89-java-00-01,CWE-89,java,sql,True,True,True,0,0.001,False,p/sqli autofix recipe
Semgrep-autofix,synthetic,synth-CWE-89-java-00-02,CWE-89,java,sql,True,True,True,0,0.001,False,p/sqli autofix recipe
Semgrep-autofix,synthetic,synth-CWE-89-java-00-03,CWE-89,java,sql,True,True,True,0,0.0009,False,p/sqli autofix recipe
Semgrep-autofix,synthetic,synth-CWE-89-python-01-00,CWE-89,python,sql,False,False,False,0,0.0007,True,no_matching_recipe
Semgrep-autofix,synthetic,synth-CWE-89-python-01-01,CWE-89,python,sql,False,False,False,0,0.0006,True,no_matching_recipe
Semgrep-autofix,synthetic,synth-CWE-89-python-01-02,CWE-89,python,sql,False,False,False,0,0.0009,True,no_matching_recipe
Semgrep-autofix,synthetic,synth-CWE-89-python-01-03,CWE-89,python,sql,False,False,False,0,0.001,True,no_matching_recipe
Semgrep-autofix,synthetic,synth-CWE-89-jsts-02-00,CWE-89,jsts,sql,False,False,False,0,0.0009,True,no_matching_recipe
Semgrep-autofix,synthetic,synth-CWE-89-jsts-02-01,CWE-89,jsts,sql,False,False,False,0,0.0008,True,no_matching_recipe
Semgrep-autofix,synthetic,synth-CWE-89-jsts-02-02,CWE-89,jsts,sql,False,False,False,0,0.0006,True,no_matching_recipe
Semgrep-autofix,synthetic,synth-CWE-89-jsts-02-03,CWE-89,jsts,sql,False,False,False,0,0.0006,True,no_matching_recipe
Semgrep-autofix,synthetic,synth-CWE-90-python-03-00,CWE-90,python,ldap,False,False,False,0,0.0002,True,out_of_recipe_scope
Semgrep-autofix,synthetic,synth-CWE-90-python-03-01,CWE-90,python,ldap,False,False,False,0,0.0001,True,out_of_recipe_scope
Semgrep-autofix,synthetic,synth-CWE-90-python-03-02,CWE-90,python,ldap,False,False,False,0,0.0001,True,out_of_recipe_scope
Semgrep-autofix,synthetic,synth-CWE-90-python-03-03,CWE-90,python,ldap,False,False,False,0,0.0001,True,out_of_recipe_scope
Semgrep-autofix,synthetic,synth-CWE-643-python-04-00,CWE-643,python,xpath,False,False,False,0,0.0002,True,out_of_recipe_scope
Semgrep-autofix,synthetic,synth-CWE-643-python-04-01,CWE-643,python,xpath,False,False,False,0,0.0001,True,out_of_recipe_scope
Semgrep-autofix,synthetic,synth-CWE-643-python-04-02,CWE-643,python,xpath,False,False,False,0,0.0001,True,out_of_recipe_scope
Semgrep-autofix,synthetic,synth-CWE-643-python-04-03,CWE-643,python,xpath,False,False,False,0,0.0001,True,out_of_recipe_scope
CodeQL+GPT-4,synthetic,synth-CWE-89-java-00-00,CWE-89,java,sql,True,True,True,0,0.0009,False,GPT-4 accepted
CodeQL+GPT-4,synthetic,synth-CWE-89-java-00-01,CWE-89,java,sql,True,True,True,0,0.001,False,GPT-4 accepted
CodeQL+GPT-4,synthetic,synth-CWE-89-java-00-02,CWE-89,java,sql,True,True,True,0,0.0011,False,GPT-4 accepted
CodeQL+GPT-4,synthetic,synth-CWE-89-java-00-03,CWE-89,java,sql,False,False,False,0,0.0009,False,GPT-4 produced unparseable diff
CodeQL+GPT-4,synthetic,synth-CWE-89-python-01-00,CWE-89,python,sql,False,False,False,0,0.0008,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-89-python-01-01,CWE-89,python,sql,False,False,False,0,0.0009,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-89-python-01-02,CWE-89,python,sql,False,False,False,0,0.0007,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-89-python-01-03,CWE-89,python,sql,False,False,False,0,0.0005,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-89-jsts-02-00,CWE-89,jsts,sql,False,False,False,0,0.0006,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-89-jsts-02-01,CWE-89,jsts,sql,False,False,False,0,0.0006,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-89-jsts-02-02,CWE-89,jsts,sql,False,False,False,0,0.0004,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-89-jsts-02-03,CWE-89,jsts,sql,False,False,False,0,0.0006,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-90-python-03-00,CWE-90,python,ldap,False,False,False,0,0.0006,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-90-python-03-01,CWE-90,python,ldap,False,False,False,0,0.0007,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-90-python-03-02,CWE-90,python,ldap,False,False,False,0,0.0008,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-90-python-03-03,CWE-90,python,ldap,False,False,False,0,0.0007,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-643-python-04-00,CWE-643,python,xpath,False,False,False,0,0.0007,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-643-python-04-01,CWE-643,python,xpath,False,False,False,0,0.0004,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-643-python-04-02,CWE-643,python,xpath,False,False,False,0,0.0004,True,no_codeql_query_hit
CodeQL+GPT-4,synthetic,synth-CWE-643-python-04-03,CWE-643,python,xpath,False,False,False,0,0.0005,True,no_codeql_query_hit
VulRepair,synthetic,synth-CWE-89-java-00-00,CWE-89,java,sql,False,False,False,0,0.0002,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-89-java-00-01,CWE-89,java,sql,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-89-java-00-02,CWE-89,java,sql,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-89-java-00-03,CWE-89,java,sql,True,True,True,0,0.0007,False,T5 decoded
VulRepair,synthetic,synth-CWE-89-python-01-00,CWE-89,python,sql,False,False,False,0,0.0002,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-89-python-01-01,CWE-89,python,sql,False,False,False,0,0.0002,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-89-python-01-02,CWE-89,python,sql,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-89-python-01-03,CWE-89,python,sql,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-89-jsts-02-00,CWE-89,jsts,sql,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-89-jsts-02-01,CWE-89,jsts,sql,False,False,False,0,0.0005,False,VulRepair: sequence does not parse
VulRepair,synthetic,synth-CWE-89-jsts-02-02,CWE-89,jsts,sql,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-89-jsts-02-03,CWE-89,jsts,sql,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-90-python-03-00,CWE-90,python,ldap,False,False,False,0,0.0002,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-90-python-03-01,CWE-90,python,ldap,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-90-python-03-02,CWE-90,python,ldap,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-90-python-03-03,CWE-90,python,ldap,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-643-python-04-00,CWE-643,python,xpath,False,False,False,0,0.0005,False,VulRepair: sequence does not parse
VulRepair,synthetic,synth-CWE-643-python-04-01,CWE-643,python,xpath,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
VulRepair,synthetic,synth-CWE-643-python-04-02,CWE-643,python,xpath,False,False,False,0,0.0005,False,VulRepair: sequence does not parse
VulRepair,synthetic,synth-CWE-643-python-04-03,CWE-643,python,xpath,False,False,False,0,0.0001,False,VulRepair generated incorrect token sequence
SeqTrans,synthetic,synth-CWE-89-java-00-00,CWE-89,java,sql,False,False,False,0,0.0001,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-89-java-00-01,CWE-89,java,sql,True,True,True,0,0.0004,False,seq2seq decoded
SeqTrans,synthetic,synth-CWE-89-java-00-02,CWE-89,java,sql,False,False,False,0,0.0001,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-89-java-00-03,CWE-89,java,sql,False,False,False,0,0.0002,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-89-python-01-00,CWE-89,python,sql,False,False,False,0,0.0008,False,SeqTrans: unparseable
SeqTrans,synthetic,synth-CWE-89-python-01-01,CWE-89,python,sql,False,False,False,0,0.0002,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-89-python-01-02,CWE-89,python,sql,False,False,False,0,0.0002,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-89-python-01-03,CWE-89,python,sql,False,False,False,0,0.0002,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-89-jsts-02-00,CWE-89,jsts,sql,False,False,False,0,0.0001,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-89-jsts-02-01,CWE-89,jsts,sql,False,False,False,0,0.0001,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-89-jsts-02-02,CWE-89,jsts,sql,False,False,False,0,0.0006,False,SeqTrans: unparseable
SeqTrans,synthetic,synth-CWE-89-jsts-02-03,CWE-89,jsts,sql,False,False,False,0,0.0008,False,SeqTrans: unparseable
SeqTrans,synthetic,synth-CWE-90-python-03-00,CWE-90,python,ldap,False,False,False,0,0.0002,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-90-python-03-01,CWE-90,python,ldap,False,False,False,0,0.0002,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-90-python-03-02,CWE-90,python,ldap,False,False,False,0,0.0007,False,SeqTrans: unparseable
SeqTrans,synthetic,synth-CWE-90-python-03-03,CWE-90,python,ldap,False,False,False,0,0.0007,False,SeqTrans: unparseable
SeqTrans,synthetic,synth-CWE-643-python-04-00,CWE-643,python,xpath,False,False,False,0,0.0002,False,SeqTrans: invalid translation
SeqTrans,synthetic,synth-CWE-643-python-04-01,CWE-643,python,xpath,False,False,False,0,0.0007,False,SeqTrans: unparseable
SeqTrans,synthetic,synth-CWE-643-python-04-02,CWE-643,python,xpath,False,False,False,0,0.0005,False,SeqTrans: unparseable
SeqTrans,synthetic,synth-CWE-643-python-04-03,CWE-643,python,xpath,False,False,False,0,0.0001,False,SeqTrans: invalid translation
ChatRepair,synthetic,synth-CWE-89-java-00-00,CWE-89,java,sql,True,True,True,0,0.0007,False,ChatRepair converged
ChatRepair,synthetic,synth-CWE-89-java-00-01,CWE-89,java,sql,False,False,False,0,0.0002,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-89-java-00-02,CWE-89,java,sql,False,False,False,0,0.0002,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-89-java-00-03,CWE-89,java,sql,False,False,False,0,0.0001,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-89-python-01-00,CWE-89,python,sql,False,False,False,0,0.0001,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-89-python-01-01,CWE-89,python,sql,False,False,False,0,0.0001,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-89-python-01-02,CWE-89,python,sql,False,False,False,0,0.0001,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-89-python-01-03,CWE-89,python,sql,False,False,False,0,0.0001,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-89-jsts-02-00,CWE-89,jsts,sql,False,False,False,0,0.0007,False,conversation diverged from sink
ChatRepair,synthetic,synth-CWE-89-jsts-02-01,CWE-89,jsts,sql,False,False,False,0,0.0002,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-89-jsts-02-02,CWE-89,jsts,sql,False,False,False,0,0.0008,False,conversation diverged from sink
ChatRepair,synthetic,synth-CWE-89-jsts-02-03,CWE-89,jsts,sql,False,False,False,0,0.0008,False,conversation diverged from sink
ChatRepair,synthetic,synth-CWE-90-python-03-00,CWE-90,python,ldap,False,False,False,0,0.0005,False,conversation diverged from sink
ChatRepair,synthetic,synth-CWE-90-python-03-01,CWE-90,python,ldap,False,False,False,0,0.0001,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-90-python-03-02,CWE-90,python,ldap,False,False,False,0,0.0001,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-90-python-03-03,CWE-90,python,ldap,False,False,False,0,0.0006,False,conversation diverged from sink
ChatRepair,synthetic,synth-CWE-643-python-04-00,CWE-643,python,xpath,False,False,False,0,0.0001,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-643-python-04-01,CWE-643,python,xpath,False,False,False,0,0.0002,False,5-turn loop exhausted without test pass
ChatRepair,synthetic,synth-CWE-643-python-04-02,CWE-643,python,xpath,False,False,False,0,0.0009,False,conversation diverged from sink
ChatRepair,synthetic,synth-CWE-643-python-04-03,CWE-643,python,xpath,False,False,False,0,0.0007,False,conversation diverged from sink
LLM-zero-shot,synthetic,synth-CWE-89-java-00-00,CWE-89,java,sql,False,False,False,0,0.0002,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-89-java-00-01,CWE-89,java,sql,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-89-java-00-02,CWE-89,java,sql,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-89-java-00-03,CWE-89,java,sql,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-89-python-01-00,CWE-89,python,sql,False,False,False,0,0.0002,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-89-python-01-01,CWE-89,python,sql,False,False,False,0,0.0005,False,unparseable model output
LLM-zero-shot,synthetic,synth-CWE-89-python-01-02,CWE-89,python,sql,False,False,False,0,0.0002,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-89-python-01-03,CWE-89,python,sql,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-89-jsts-02-00,CWE-89,jsts,sql,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-89-jsts-02-01,CWE-89,jsts,sql,False,False,False,0,0.0006,False,unparseable model output
LLM-zero-shot,synthetic,synth-CWE-89-jsts-02-02,CWE-89,jsts,sql,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-89-jsts-02-03,CWE-89,jsts,sql,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-90-python-03-00,CWE-90,python,ldap,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-90-python-03-01,CWE-90,python,ldap,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-90-python-03-02,CWE-90,python,ldap,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-90-python-03-03,CWE-90,python,ldap,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-643-python-04-00,CWE-643,python,xpath,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-643-python-04-01,CWE-643,python,xpath,False,False,False,0,0.0001,False,model hallucinated non-existent API
LLM-zero-shot,synthetic,synth-CWE-643-python-04-02,CWE-643,python,xpath,False,False,False,0,0.0005,False,unparseable model output
LLM-zero-shot,synthetic,synth-CWE-643-python-04-03,CWE-643,python,xpath,False,False,False,0,0.0002,False,model hallucinated non-existent API
